barangay,location,precinct_id,registered_voters,actual_voters,turnout,contest_type,contest_name,candidate_name,votes,percentage
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"1. ABALOS, BENHUR (PFP)",740,4.21
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"2. ADONIS, JEROME (MKBYN)",30,0.17
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"3. AMAD, WILSON (IND)",46,0.26
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"4. ANDAMO, NARS ALYN (MKBYN)",31,0.18
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"5. AQUINO, BAM (KNP)",888,5.05
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"6. ARAMBULO, RONNEL (MKBYN)",171,0.97
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"7. ARELLANO, ERNESTO (KTPNAN)",39,0.22
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"8. BALLON, ROBERTO (IND)",113,0.64
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"9. BINAY, ABBY (NPC)",680,3.87
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"10. BONDOC, JIMMY (PDPLBN)",140,0.8
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"11. BONG REVILLA,RAMON, JR.(LAKAS)",634,3.61
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"12. BOSITA, COLONEL (IND)",461,2.62
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"13. BROSAS, ARLENE (MKBYN)",177,1.01
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"14. CABONEGRO, ROY (DPP)",19,0.11
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"15. CAPUYAN, ALLEN (PPP)",20,0.11
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"16. CASIÑO, TEDDY (MKBYN)",198,1.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"17. CASTRO, TEACHER FRANCE (MKBYN)",121,0.69
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"18. CAYETANO, PIA (NP)",769,4.37
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"19. D'ANGELO, DAVID (BUNYOG)",36,0.2
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"20. DE ALBAN,ATTORNEY ANGELO (IND)",121,0.69
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"21. DE GUZMAN, KA LEODY (PLM)",144,0.82
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"22. DELA ROSA, BATO (PDPLBN)",467,2.66
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"23. DORINGO, NANAY MIMI (MKBYN)",27,0.15
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"24. ESCOBAL, ARNEL (PM)",47,0.27
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"25. ESPIRITU, LUKE (PLM)",261,1.48
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"26. FLORANDA, MODY PISTON (MKBYN)",22,0.13
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"27. GAMBOA, MARC LOUIE (IND)",34,0.19
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"28. GO, BONG GO    (PDPLBN)",688,3.91
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"29. GONZALES, NORBERTO (PDSP)",73,0.42
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"30. HINLO, JAYVEE (PDPLBN)",70,0.4
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"31. HONASAN, GRINGO (RP)",220,1.25
bolosan,"REGION I, PANGASINAN, CITY OF SAN CARLOS, BOLOSAN",55320056,599,548,91.49,National,SENATOR of PHILIPPINES,"32. JOSE, RELLY JR. (KBL)",28,0.16
