Candidate,Clean_Name,Total
"5. AQUINO, BAM (KNP)","AQUINO, BAM",51346
"59. SOTTO, TITO (NPC)","SOTTO, TITO",45514
"63. TULFO, ERWIN (LAKAS)","TULFO, ERWIN",44365
"1. ABALOS, BENHUR (PFP)","ABALOS, BENHUR",41272
"18. CAYETANO, PIA (NP)","CAYETANO, PIA",40018
"35. LAPID, LITO (NPC)","LAPID, LITO",38660
"51. PANGILINAN, KIKO (LP)","PANGILINAN, KIKO",38253
"28. GO, BONG GO    (PDPLBN)","GO, BONG GO",37206
"33. LACSON, PING (IND)","LACSON, PING",36612
"62. TULFO, BEN BITAG (IND)","TULFO, BEN BITAG",33661
"11. BONG REVILLA,RAMON, JR.(LAKAS)","BONG REVILLA,RAMON, JR.",32275
"9. BINAY, ABBY (NPC)","BINAY, ABBY",31763
"66. VILLAR, CAMILLE (NP)","VILLAR, CAMILLE",31538
"39. MARCOS, IMEE R. (NP)","MARCOS, IMEE R.",30936
"22. DELA ROSA, BATO (PDPLBN)","DELA ROSA, BATO",25111
