Candidate,abanon,agdao,ano,antipangol,aponit,bacnar,balaya,balayong,baldog,balite-sur,balococ,bani,bocboc,bogaoan,bolingit,bolosan,buenglat,calobaoan,calomboyan,caoayan-kiling,cobol,coliling,cruz,doyong,gamata,guelew,inerangan,isla,libas,lilimasan,mabalbalino,magtaking,malacañang,maliwara,matagdem,mestizo-norte,naguilayan,nelintap,pagal,palaming,palospos,pangalangan,pangoloan,pangpang,parayao,payapa,payar,polo,quintong,roxas-blvd.,salinap,san-juan,sapinit,supo,talang,tamayo,tandoc,tarece,tarectec,tebag,turac,Total
"4. BANIQUED, SAM (NP)",657,957,857,617,592,1624,628,598,448,1242,554,290,314,753,1484,990,578,1054,1038,1060,1051,1233,563,674,662,847,561,774,1268,934,688,1066,1160,297,961,543,495,427,876,606,498,1579,454,869,319,503,577,498,1018,6118,663,883,439,440,769,761,876,1822,478,435,2029,54049
"9. FERMIN, BIDO (NP)",439,1032,651,539,513,1452,551,623,508,841,580,270,390,613,1521,901,503,820,1044,845,784,1258,531,607,658,668,384,699,922,935,482,1009,1025,255,887,515,513,414,1284,758,405,1624,495,1000,258,445,472,511,1073,7277,757,671,324,350,639,672,999,1731,390,358,1279,50954
"8. CANO, KUYA NICK (NPC)",559,1142,646,493,545,1485,466,522,633,943,544,272,261,746,1412,939,501,1208,854,756,1116,988,568,519,333,862,552,604,1241,407,542,1086,1008,258,877,509,651,479,1009,685,295,1746,348,820,272,288,569,510,1100,6486,845,881,298,446,756,852,940,1564,467,350,1164,50218
"7. CANCINO, CHRISTIAN (NP)",349,918,720,558,709,1113,663,665,884,680,613,310,275,697,1284,830,578,689,948,684,628,875,421,457,770,601,313,733,1112,872,515,897,829,336,631,501,464,272,1482,712,337,1471,506,1139,268,394,469,493,865,8280,641,950,307,264,1059,745,920,1725,322,311,808,49862
"11. GARCIA, MANOY (NP)",472,943,621,650,869,1316,573,453,679,747,792,309,327,798,1241,938,826,755,885,816,598,940,442,590,721,787,516,803,1143,803,708,815,944,370,826,531,389,436,909,591,392,1288,456,953,242,357,624,529,927,6441,823,1022,345,397,1031,959,629,1622,347,309,1099,49664
"16. RESUELLO, CARMINA (NP)",550,889,568,559,536,1438,551,577,464,953,573,247,287,542,1241,957,478,898,972,926,779,1120,461,603,719,760,524,759,1107,868,581,891,1039,278,796,455,479,411,926,639,452,1331,484,954,284,483,529,494,936,5615,623,952,342,406,642,684,786,1601,459,385,1536,48379
"2. BANAAG, JUN (NP)",627,990,630,441,478,1298,514,519,444,828,491,243,270,615,1262,888,499,1071,922,1478,758,1077,498,613,627,888,513,725,1156,939,527,837,1184,272,811,496,362,397,884,633,415,1279,439,866,282,414,525,572,873,5709,531,699,324,404,686,682,750,1633,406,409,1323,47926
"14. MILLORA, WINSTON (NP)",488,810,563,554,488,1173,527,525,426,787,456,260,273,529,1283,915,460,873,949,1089,780,955,471,573,647,699,473,550,787,790,594,865,1134,292,878,410,375,390,1040,703,408,1299,456,822,271,407,398,431,966,6365,523,665,302,352,639,626,855,1465,405,343,1083,45915
"10. FRIAS, CAREN JOYCE (NP)",479,819,663,505,463,1281,523,524,406,920,424,246,282,559,1368,880,428,989,864,771,799,1012,542,665,565,777,707,648,954,921,513,916,863,209,961,391,485,543,840,608,380,1277,446,870,254,450,442,441,872,5599,631,563,315,367,653,653,811,1520,432,348,1199,45836
"6. CALUGAY, GEORGE (NP)",412,797,689,419,409,1022,388,437,449,746,409,263,244,489,1151,731,405,838,957,693,774,949,409,515,574,574,417,639,858,778,500,785,820,217,893,422,351,395,1040,1098,339,1974,435,1027,241,411,411,409,972,6679,505,723,254,310,586,558,883,1368,490,300,919,44750
