,PROVINCIAL VICE-GOVERNOR of PANGASINAN,VICE-MAYOR of PANGASINAN - CITY OF SAN CARLOS,SENATOR of PHILIPPINES,"MEMBER, SANGGUNIANG PANLUNGSOD of PANGASINAN - CITY OF SAN CARLOS - LONE DIST","MEMBER, SANGGUNIANG PANLALAWIGAN of PANGASINAN - THIRD PROVDIST",PROVINCIAL GOVERNOR of PANGASINAN,PARTY LIST of PHILIPPINES,MAYOR of PANGASINAN - CITY OF SAN CARLOS,"MEMBER, HOUSE OF REPRESENTATIVES of PANGASINAN - THIRD LEGDIST",Total Votes
abanon,943,1099,9290,8514,1836,1097,901,1115,1071,25866
agdao,1754,1996,17747,15772,3317,1978,1570,2012,1904,48050
anando,455,565,4268,3922,885,549,398,575,541,12158
ano,1311,1528,13007,11554,2589,1528,1312,1550,1488,35867
antipangol,860,1009,8517,8073,1702,1003,814,1022,966,23966
aponit,995,1223,9599,8523,1913,1218,909,1256,1155,26791
bacnar,2382,2735,24592,22046,4664,2722,2213,2753,2648,66755
balaya,913,1079,8952,8126,1745,1058,887,1083,1025,24868
balayong,909,1086,9419,8235,1816,1074,903,1094,1044,25580
baldog,1003,1198,10188,9039,2046,1179,978,1215,1161,28007
balite-sur,1620,1934,17189,15370,3199,1909,1533,1949,1845,46548
balococ,882,1072,8865,8215,1782,1049,815,1090,1025,24795
bani,429,478,4344,4214,830,477,405,485,460,12122
bega,1026,1243,10786,9531,2080,1233,1035,1257,1171,29362
bocboc,508,616,4856,4563,988,608,483,622,591,13835
bogaoan,1078,1292,11148,10046,2120,1272,1110,1317,1253,30636
bolingit,1629,1870,16291,14017,3145,1894,1595,1903,1828,44172
bolosan,879,1035,9218,8133,1730,1018,854,1045,1001,24913
bonifacio,396,466,4179,3696,786,464,406,467,453,11313
buenglat,863,1008,8559,7623,1675,1005,799,1027,965,23524
bugallon-posadas-street,466,537,4926,4115,895,533,424,541,523,12960
burgos-padlan,682,787,7010,6003,1308,782,664,801,749,18786
cacaritan,1104,1274,11810,9935,2124,1258,1006,1282,1226,31019
caingal,788,878,8362,7298,1522,877,731,882,846,22184
calobaoan,1666,1893,17288,15524,3201,1887,1595,1917,1832,46803
calomboyan,1569,1897,15834,14531,3012,1877,1533,1915,1818,43986
caoayan-kiling,1733,2046,17298,14892,3262,2034,1658,2067,1955,46945
capataan,1173,1352,12374,10811,2281,1347,1143,1364,1291,33136
cobol,1529,1802,15462,13743,3076,1794,1436,1825,1746,42413
coliling,2046,2462,21535,17988,4076,2451,1830,2498,2348,57234
